user_id	age	gender	prefecture	created_on
1	34	女性	静岡県	2012-06-26
2	31	男性	鳥取県	2012-07-12
3	32	男性	東京都	2012-07-15
4	30	男性	東京都	2012-07-17
5	29	女性	埼玉県	2012-07-17
6	28	男性	東京都	2012-07-23
7	39	女性	千葉県	2012-07-27
8	29	女性	千葉県	2012-07-27
9	33	男性	愛知県	2012-07-28
10	35	女性	東京都	2012-07-28
11	34	女性	神奈川県	2012-07-29
12	33	男性	千葉県	2012-07-29
13	30	女性	神奈川県	2012-07-30
14	29	女性	千葉県	2012-07-30
15	39	男性	東京都	2012-08-01
16	26	男性	滋賀県	2012-08-01
17	33	男性	東京都	2012-08-01
18	31	男性	埼玉県	2012-08-02
19	38	女性	埼玉県	2012-08-04
20	31	男性	東京都	2012-08-05
21	32	女性	千葉県	2012-08-05
22	29	男性	神奈川県	2012-08-05
23	33	男性	神奈川県	2012-08-06
24	39	男性	滋賀県	2012-08-07
25	33	男性	千葉県	2012-08-09
26	32	女性	東京都	2012-08-10
27	32	女性	千葉県	2012-08-11
28	31	男性	東京都	2012-08-14
29	32	男性	兵庫県	2012-08-14
30	33	男性	千葉県	2012-08-15
31	36	男性	東京都	2012-08-16
32	45	男性	埼玉県	2012-08-16
33	32	男性	千葉県	2012-08-16
34	31	女性	大阪府	2012-08-16
35	30	男性	埼玉県	2012-08-18
36	31	女性	埼玉県	2012-08-18
37	33	男性	埼玉県	2012-08-18
38	35	男性	東京都	2012-08-19
39	34	男性	神奈川県	2012-08-22
40	36	男性	埼玉県	2012-08-22
41	30	男性	埼玉県	2012-08-23
42	30	男性	群馬県	2012-08-23
43	32	男性	東京都	2012-08-23
44	30	男性	神奈川県	2012-08-23
45	33	女性	東京都	2012-08-24
46	36	男性	東京都	2012-08-26
47	30	男性	神奈川県	2012-08-26
48	38	男性	東京都	2012-08-26
49	37	男性	茨城県	2012-08-27
50	40	男性	神奈川県	2012-08-29
51	38	女性	大阪府	2012-08-30
52	31	女性	大阪府	2012-08-31
53	33	男性	東京都	2012-09-01
54	30	女性	東京都	2012-09-01
55	34	男性	福岡県	2012-09-02
56	28	女性	兵庫県	2012-09-02
57	29	女性	大阪府	2012-09-02
58	40	男性	神奈川県	2012-09-03
59	32	女性	埼玉県	2012-09-03
60	31	男性	岡山県	2012-09-03
61	34	女性	千葉県	2012-09-03
62	36	女性	神奈川県	2012-09-04
63	27	女性	千葉県	2012-09-05
64	33	女性	東京都	2012-09-05
65	38	男性	埼玉県	2012-09-06
66	38	男性	長野県	2012-09-06
